Date,Account value
4/16/2020,16500
4/17/2020,16500.01
4/20/2020,16500.02
4/21/2020,16500.02
4/22/2020,16500.03
4/23/2020,16577.08
4/24/2020,16578.59
4/27/2020,16576.74
4/28/2020,16580.37
4/29/2020,16623.63
4/30/2020,16605.8
5/1/2020,16637.54
5/4/2020,16635.35
5/5/2020,16629.65
5/6/2020,16600.06
5/7/2020,16641.85
5/8/2020,16647.12
5/11/2020,16646.02
5/12/2020,16627.05
5/13/2020,16598.11
5/14/2020,16626.53
5/15/2020,16617.75
5/18/2020,16654.64
5/19/2020,16623.06
5/20/2020,16733.6
5/21/2020,16744.97
5/22/2020,16717.03
5/25/2020,16717.03
5/26/2020,16873.75
5/27/2020,16911.52
5/28/2020,16870.84
5/29/2020,16915.88
6/1/2020,16959.53
6/2/2020,16995.37
6/3/2020,17015.1
6/4/2020,17011.89
6/5/2020,17294.65
6/8/2020,17406.5
6/9/2020,17379.46
6/10/2020,17346.34
6/11/2020,16921.36
6/12/2020,17476.79
6/15/2020,17629.51
6/16/2020,17842.32
6/17/2020,17776.8
6/18/2020,17885.42
6/19/2020,17778.28
6/22/2020,17946.9
6/23/2020,17924.01
6/24/2020,17577.83
6/25/2020,17675.52
6/26/2020,16101.74
6/29/2020,17054.74
6/30/2020,17869.25
7/1/2020,17720.23
7/2/2020,18079.48
7/3/2020,18079.48
7/6/2020,18251.3
7/7/2020,18191.55
7/8/2020,18236.11
7/9/2020,18159.22
7/10/2020,18321.48
7/13/2020,18352.19
7/14/2020,18320.46
7/15/2020,18515.34
7/16/2020,18542.72
7/17/2020,18500.31
7/20/2020,18560.51
7/21/2020,18716.81
7/22/2020,18701.36
7/23/2020,18565.07
7/24/2020,18604.85
7/27/2020,18537.99
7/28/2020,18622.84
7/29/2020,18675.16
7/30/2020,18690.01
7/31/2020,18443.94
8/3/2020,18599.51
8/4/2020,18792.52
8/5/2020,18984.65
8/6/2020,18677.45
8/7/2020,18988.87
8/10/2020,19107.2
8/11/2020,19246.2
8/12/2020,19274.08
8/13/2020,19315.98
8/14/2020,19415.33
8/17/2020,19845.87
8/18/2020,19812.07
8/19/2020,19735.47
8/20/2020,19757.98
8/21/2020,19755.79
8/24/2020,20141.76
8/25/2020,20269.01
8/26/2020,20209.15
8/27/2020,20303.76
8/28/2020,20392
8/31/2020,20276.58
9/1/2020,20361.33
9/2/2020,20384.37
9/3/2020,20380.82
9/4/2020,20552.8
9/7/2020,20552.8
9/8/2020,20405.31
9/9/2020,20523.13
9/10/2020,20451.51
9/11/2020,20562.22
9/14/2020,20606.53
9/15/2020,20579.52
9/16/2020,20632.63
9/17/2020,20661.38
9/18/2020,20624.7
9/21/2020,20579.97
9/22/2020,20577.73
9/23/2020,20505.01
9/24/2020,20482.5
9/25/2020,20531.43
9/28/2020,20637.78
9/29/2020,20677.45
9/30/2020,20706.29
10/1/2020,20753.79
10/2/2020,20771.65
10/5/2020,20814.9
10/6/2020,20798.79
10/7/2020,20805.02
10/8/2020,20802.36
10/9/2020,20846.96
10/12/2020,20870.98
10/13/2020,20884.23
10/14/2020,20837.04
10/15/2020,20902.36
10/16/2020,20926.21
10/19/2020,20918.23
10/20/2020,20913.72
10/21/2020,20859.82
10/22/2020,20910.11
10/23/2020,20901.46
10/26/2020,20820.5
10/27/2020,20690.09
10/28/2020,20482.91
10/29/2020,20554.57
10/30/2020,20581.75
11/2/2020,20671.17
11/3/2020,20779.17
11/4/2020,20908.35
11/5/2020,21065.14
11/6/2020,21073.96
11/9/2020,21213.63
11/10/2020,21231.81
11/11/2020,21127.85
11/12/2020,21126.67
11/13/2020,21163.89
11/16/2020,21223.76
11/17/2020,21234.55
11/18/2020,21226.65
11/19/2020,21248.55
11/20/2020,21255.85
11/23/2020,21336.47
11/24/2020,21416.84
11/25/2020,21511.89
11/26/2020,21511.89
11/27/2020,21586.83
11/30/2020,21694.43
12/1/2020,21640.77
12/2/2020,21613.75
12/3/2020,21579.97
12/4/2020,21950.02
12/7/2020,22263.22
12/8/2020,22674.11
12/9/2020,22857.27
12/10/2020,22720.94
12/11/2020,22869.84
12/14/2020,22761.07
12/15/2020,22836.56
12/16/2020,23033.69
12/17/2020,23124.25
12/18/2020,23167.31
12/21/2020,23437.3
12/22/2020,23449.42
12/23/2020,23514.83
12/24/2020,23726.85
12/25/2020,23726.85
12/28/2020,22934.42
12/29/2020,22748.04
12/30/2020,22915.21
12/31/2020,22706.04
1/1/2021,22706.04
1/4/2021,22831.42
1/5/2021,23158.54
1/6/2021,23116.44
1/7/2021,22579.74
1/8/2021,22688.26
1/11/2021,22857.81
1/12/2021,23131.02
1/13/2021,23371.56
1/14/2021,23550.1
1/15/2021,23482.4
1/18/2021,23482.4
1/19/2021,23885.54
1/20/2021,23919.99
1/21/2021,23822.39
1/22/2021,23960.01
1/25/2021,24079.57
1/26/2021,23992.44
1/27/2021,23534.87
1/28/2021,23743.27
1/29/2021,23788.58
2/1/2021,24180.57
2/2/2021,24357.48
2/3/2021,24551.3
2/4/2021,24607.63
2/5/2021,24566.73
2/8/2021,24672.56
2/9/2021,24659.22
2/10/2021,24615.56
2/11/2021,24644.25
2/12/2021,24658.59
2/15/2021,24658.59
2/16/2021,24748.84
2/17/2021,24766.6
2/18/2021,24745.18
2/19/2021,24840.4
2/22/2021,24727.24
2/23/2021,24381.96
2/24/2021,24372.11
2/25/2021,24236.1
2/26/2021,24212.53
3/1/2021,24324.3
3/2/2021,24080.38
3/3/2021,24040.38
3/4/2021,23849.15
3/5/2021,24028.2
3/8/2021,23913.38
3/9/2021,23973.55
3/10/2021,24017.49
3/11/2021,24168.51
3/12/2021,24153.02
3/15/2021,24018.41
3/16/2021,23988.85
3/17/2021,23962.39
3/18/2021,23917.11
3/19/2021,23915.57
3/22/2021,23897.05
3/23/2021,23735.62
3/24/2021,23527.35
3/25/2021,23504.65
3/26/2021,23556.47
3/29/2021,23556.47
3/30/2021,23541.95
3/31/2021,23588.75
4/1/2021,23658.11
4/2/2021,23658.11
4/5/2021,23646.04
4/6/2021,23649.76
4/7/2021,23663.01
4/8/2021,23919.65
4/9/2021,23909.75
4/12/2021,23805.67
4/13/2021,23790.93
4/14/2021,23811.68
4/15/2021,23827.11
4/16/2021,23772
4/19/2021,23691.77
4/20/2021,23606.81
4/21/2021,23670.38
4/22/2021,23620.43
4/23/2021,23729.63
4/26/2021,23725.15
4/27/2021,23681.96
4/28/2021,23675.17
4/29/2021,23648.97
4/30/2021,23668.74
5/3/2021,23606.95
5/4/2021,23634.34
5/5/2021,23579.47
5/6/2021,23557.54
5/7/2021,23550.79
5/10/2021,23527.09
5/11/2021,23482.57
5/12/2021,23447.3
5/13/2021,23419.74
5/14/2021,23466.65
5/17/2021,23463.27
5/18/2021,23440.41
5/19/2021,23513.82
5/20/2021,23532.58
5/21/2021,23512.47
5/24/2021,23516.53
5/25/2021,23505.19
5/26/2021,23475.4
5/27/2021,23460.7
5/28/2021,23462.78
5/31/2021,23462.78
6/1/2021,23518.1
6/2/2021,23463.83
6/3/2021,23538
6/4/2021,23553.14
6/7/2021,23576.4
6/8/2021,23605.37
6/9/2021,23733.77
6/10/2021,23723.26
6/11/2021,23706.4
6/14/2021,23803.14
6/15/2021,23815.06
6/16/2021,23793.66
6/17/2021,23769.79
6/18/2021,23768.89
6/21/2021,23735.52
6/22/2021,23753.03
6/23/2021,23735.23
6/24/2021,23795.62
6/25/2021,23780.13
6/28/2021,23765.37
6/29/2021,23780.16
6/30/2021,23831.86
7/1/2021,23843.74
7/2/2021,23905.84
7/5/2021,23905.84
7/6/2021,23863.04
7/7/2021,23856.05
7/8/2021,23815.73
7/9/2021,22863.36
7/12/2021,22834.25
7/13/2021,22790.89
7/14/2021,22726.11
7/15/2021,22721.1
7/16/2021,22701.67
7/19/2021,22543.81
7/20/2021,22668.29
7/21/2021,22679.49
7/22/2021,22693.31
7/23/2021,22672.25
7/26/2021,22710.89
7/27/2021,22695.56
7/28/2021,22688.87
7/29/2021,22676.27
7/30/2021,22682.91
8/2/2021,22660.6
8/3/2021,22662.61
8/4/2021,22699.21
8/5/2021,22633.09
8/6/2021,22695.66
8/9/2021,22722.49
8/10/2021,22712.69
8/11/2021,22721.16
8/12/2021,22676.14
8/13/2021,22678.22
8/16/2021,22646.49
8/17/2021,22585.2
8/18/2021,22568.23
8/19/2021,22539.95
8/20/2021,22531.13
8/23/2021,22557.79
8/24/2021,22574.34
8/25/2021,22596.81
8/26/2021,22560.62
8/27/2021,22606.27
8/30/2021,22606.35
8/31/2021,22659.49
9/1/2021,22218.45
9/2/2021,22242.45
9/3/2021,22346.85
9/6/2021,22346.85
9/7/2021,22293.66
9/8/2021,22268.12
9/9/2021,22269.82
9/10/2021,22254.11
9/13/2021,22302.26
9/14/2021,22296.5
9/15/2021,22203.83
9/16/2021,22205.76
9/17/2021,22203.71
9/20/2021,22031.72
9/21/2021,21985.54
9/22/2021,22112.51
9/23/2021,22207.78
9/24/2021,22218.92
9/27/2021,22346.9
9/28/2021,22283.13
9/29/2021,22257.7
9/30/2021,22278.35
10/1/2021,22369.37
10/4/2021,22382.12
10/5/2021,22432.21
10/6/2021,22454.71
10/7/2021,22495.37
10/8/2021,22496.96
10/11/2021,22495.48
10/12/2021,22408.36
10/13/2021,22476.35
10/14/2021,22564.54
10/15/2021,22668.59
10/18/2021,22680
10/19/2021,22626.12
10/20/2021,22623.62
10/21/2021,22743.24
10/22/2021,22569.28
10/25/2021,22608
10/26/2021,22658.18
10/27/2021,22514.49
10/28/2021,22554.66
10/29/2021,22530.19
11/1/2021,22633.53
11/2/2021,22583.46
11/3/2021,22654.55
11/4/2021,22545.06
11/5/2021,22616.78
11/8/2021,22665.29
11/9/2021,22577.17
11/10/2021,22632.61
11/11/2021,22574.43
11/12/2021,22654.22
11/15/2021,22575.86
11/16/2021,22492.6
11/17/2021,22410.49
11/18/2021,22313.18
11/19/2021,22264.44
11/22/2021,22352.2
11/23/2021,22288.28
11/24/2021,22280.76
11/25/2021,22280.76
11/26/2021,22198.43
11/29/2021,22190.38
11/30/2021,22071.84
12/1/2021,22088.23
12/2/2021,22296.29
12/3/2021,22249.54
12/6/2021,22437
12/7/2021,22446.88
12/8/2021,22516.58
12/9/2021,22496.56
12/10/2021,22493.93
12/13/2021,22442.71
12/14/2021,22412.18
12/15/2021,22463.09
12/16/2021,22481.35
12/17/2021,22301.17
12/20/2021,22378.19
12/21/2021,22768.42
12/22/2021,22730.15
12/23/2021,22814.29
12/24/2021,22814.29
12/27/2021,22845.65
12/28/2021,22730.21
12/29/2021,22652.52
12/30/2021,23047.81
12/31/2021,22900.9
1/3/2022,23635.88
1/4/2022,23522.58
1/5/2022,23218.55
1/6/2022,22930.05
1/7/2022,23105.78
1/10/2022,22993.92
1/11/2022,23274.65
1/12/2022,23125.86
1/13/2022,22840.77
1/14/2022,22972.7
1/17/2022,22972.7
1/18/2022,22434.99
1/19/2022,22202.06
1/20/2022,22262.9
1/21/2022,21876.03
1/24/2022,22167.54
1/25/2022,22215.01
1/26/2022,22423.81
1/27/2022,21987.68
1/28/2022,22337.76
1/31/2022,22689.52
2/1/2022,22920.43
2/2/2022,22774.47
2/3/2022,22517.67
2/4/2022,22736.58
2/7/2022,22631.49
2/8/2022,22441.48
2/9/2022,22633.13
2/10/2022,22557.2
2/11/2022,22449.02
2/14/2022,22441.52
2/15/2022,22633.41
2/16/2022,22602.25
2/17/2022,22437.49
2/18/2022,22243.47
2/21/2022,22243.47
2/22/2022,22085.95
2/23/2022,22015.82
2/24/2022,22572.36
2/25/2022,22682.99
2/28/2022,22758.29
3/1/2022,22664.89
3/2/2022,23231.95
3/3/2022,22731.71
3/4/2022,22606.88
3/7/2022,22299.83
3/8/2022,22433.05
3/9/2022,22867.23
3/10/2022,22813.09
3/11/2022,22566.83
3/14/2022,22325.2
3/15/2022,22751.03
3/16/2022,23347.46
3/17/2022,23508.92
3/18/2022,23592.26
3/21/2022,23542.6
3/22/2022,23645.07
3/23/2022,23596.28
3/24/2022,23680.53
3/25/2022,23715.85
3/28/2022,23733.05
3/29/2022,23862.94
3/30/2022,23817.61
3/31/2022,23681.91
4/1/2022,23770.93
4/4/2022,23853.95
4/5/2022,23775.73
4/6/2022,23614.07
4/7/2022,23561.11
4/8/2022,23591.18
4/11/2022,23521.75
4/12/2022,23235.96
4/13/2022,23433.21
4/14/2022,23388.18
4/15/2022,23388.18
4/18/2022,23413.12
4/19/2022,23689.72
4/20/2022,23864.73
4/21/2022,23671.96
4/22/2022,23361.86
4/25/2022,23648.96
4/26/2022,23366.13
4/27/2022,23345.17
4/28/2022,23463.19
4/29/2022,22881.35
5/2/2022,23134.16
5/3/2022,23417.29
5/4/2022,23871.19
5/5/2022,23523.11
5/6/2022,23445.48
5/9/2022,23018.14
5/10/2022,22722.24
5/11/2022,21823.04
5/12/2022,22071.27
5/13/2022,22778.99
5/16/2022,22731.71
5/17/2022,23797.39
5/18/2022,23302.75
5/19/2022,23270.92
5/20/2022,23136.18
5/23/2022,23870.31
5/24/2022,23689.11
,
,
My Account Chart balance information does not include short options value from 1/1/2017-2/23/2018 for legacy ,
Scottrade accounts and may not include price corrections submitted by the exchanges after market close. ,
Please see the Detailed Balances page or your account statements for complete balance information.,
